ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
3780,Adjusted Water Management in Rice Cultivation in Pingjiang County,"Yueyang Agricultural and Rural Development Group Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"54,391",Asia,,2020-04-04,2027-04-03
3781,Adjusted Water Management in Rice Cultivation in North Pingjiang County,"Yueyang Agricultural and Rural Development Group Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"41,922",Asia,,2020-04-04,2027-04-03
3782,Adjusted Water Management in Rice Cultivation in South Pingjiang County,"Yueyang Agricultural and Rural Development Group Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"36,567",Asia,,2020-04-04,2027-04-03
3783,Adjusted Water Management in Rice Cultivation in Miluo County,"Yueyang Agricultural and Rural Development Group Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"60,000",Asia,,2020-04-04,2027-04-03
3784,Adjusted Water Management in Rice Cultivation in West Miluo County,"Yueyang Agricultural and Rural Development Group Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"46,766",Asia,,2020-04-04,2027-04-03
3785,Adjusted Water Management in Rice Cultivation in East Miluo County,"Yueyang Agricultural and Rural Development Group Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"46,766",Asia,,2020-04-04,2027-04-03
3786,Silvopastoral carbon project of Uruguay,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration and verification approval requested,Uruguay,405,Latin America,,2019-10-28,2119-10-27
3773,Mindanao Forests for People and Sustainable Livelihoods (MinFor),Multiple Proponents,Agriculture Forestry and Other Land Use,ARR; REDD; WRC,VM0007,Registration request denied,Philippines,"274,914",Asia,,2022-09-08,2072-09-07
3765,Adjusted Water Management in Rice Cultivation in Qionglai City,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"58,017",Asia,,2020-05-11,2030-05-10
3766,Gansu Ganzhou Biogas Recovery and Utilization Project,"Gansu Founder Energy Conservation Sci&Tech Service Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.D.,Registered,China,"33,220",Asia,2023-12-01,2021-08-01,2028-07-31
3767,MicroEnergy Credits – Microfinance for Solar Lamps in Kenya,MicroEnergy Credits Corp,Energy industries (renewable/non-renewable sources),,AMS-III.AR,Registered,Kenya,"57,457",Africa,2023-09-11,2021-04-13,2028-04-12
3769,SMG - Cookstove Program 1,Shri Maa Marketing Private Limited,Energy demand,,VMR0006,Registered,India,"83,186",Asia,2023-12-18,2022-11-01,2029-10-31
3770,SMG - Cookstove Program 2,Shri Maa Marketing Private Limited,Energy demand,,VMR0006,Registered,India,"90,249",Asia,2024-12-13,2022-12-01,2029-11-30
3771,SMG - Cookstove Program 3,Shri Maa Marketing Private Limited,Energy demand,,VMR0006,Registered,India,"90,249",Asia,2024-10-22,2022-12-01,2029-11-30
3772,RE.GREEN AMAZON FOREST REFORESTATION/RESTORATION PROJECT,Re.Green Participações S.A.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration requested,Brazil,"978,010",Latin America,,2022-10-15,2122-10-14
3753,Adjusted Water Management in Rice Cultivation in Dayi County,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"57,352",Asia,,2020-05-12,2030-05-11
3754,Adjusted Water Management in Rice Cultivation In Hongan County,"Wuhan Haimingsen Environmental Protection Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"58,111",Asia,,2020-05-26,2030-05-25
3755,Cookstove distribution project in India,Outreach Projects Pvt. Ltd.,Energy demand,,VMR0006,Under validation,India,"3,376,316",Asia,,2022-05-09,2029-05-08
3756,Suzhou Jiulong PET Recycling Project,"Suzhou Jiulong Recycling Technology Co., Ltd.",Waste handling and disposal,,AMS-III.AJ.,Inactive,China,"51,647",Asia,,2021-06-01,2028-05-31
3758,Grouped Cookstove distribution project in India,Outreach Projects Pvt. Ltd.,Energy demand,,VMR0006,Under validation,India,"3,376,316",Asia,,2022-02-28,2029-02-27
3759,Social development by distribution of Cookstoves in India,Outreach Projects Pvt. Ltd.,Energy demand,,VMR0006,Under validation,India,"3,376,316",Asia,,2022-04-22,2029-04-21
3760,Social Empowerment by distribution of Cookstoves,Outreach Projects Pvt. Ltd.,Energy demand,,VMR0006,Under validation,India,"3,376,316",Asia,,2022-04-03,2029-04-02
3761,OLIVE GROVES FOR CARBON FARMING,Santo Stefano Srl,Agriculture Forestry and Other Land Use,ALM,VM0042,Rejected by Administrator,Italy,"40,414",Europe,,2019-09-05,2050-09-04
3762,Jiaozhou Landfill Gas Recovery Project,"Qingdao Gangya New Energy Co.,Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,"70,457",Asia,2023-06-07,2021-07-25,2031-07-24
3763,Restoration in the Manduvirá region of Paraguay,Román Beño,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Withdrawn,Paraguay,"48,256",Latin America,,2019-10-15,2049-10-14
3757,Enhancing Lives of communities by distribution of Cookstoves,Outreach Projects Pvt. Ltd.,Energy demand,,VMR0006,Registered,India,"449,956",Asia,2024-01-31,2022-11-20,2029-11-19
3752,SMG - LED Light Program 1,Shri Maa Marketing Private Limited,Energy demand,,AMS-II.C.,Registered,India,"13,402",Asia,2024-04-03,2022-10-01,2029-09-30
3746,NaturAll Carbon Program – Conservation Agriculture and Land Management in Brazil,NaturAll Carbon Limited,Agriculture Forestry and Other Land Use,ALM,VM0042,Registration and verification approval requested,Brazil,"1,562,585",Latin America,,2019-11-02,2039-11-01
3747,Adjusted Water Management in Rice Cultivation In Qichun County,"Wuhan Haimingsen Environmental Protection Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"59,064",Asia,,2020-05-28,2030-05-27
3748,Hongze-1 Water Management with Rice Cultivation,"Shenzhen Cypress Carbon Environmental Technology Service Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"59,554",Asia,,2020-06-10,2027-06-09
3749,Hongze-2 Water Management with Rice Cultivation,"Shenzhen Cypress Carbon Environmental Technology Service Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"59,806",Asia,,2020-06-11,2027-06-10
3750,Project 2,MAA RESTORATION LLC,Agriculture Forestry and Other Land Use,ARR,Methodology Under Development,Rejected by Administrator,Estonia,"1,460,000",Europe,,2019-09-01,2119-08-31
3740,Upscaling Livelihoods and Biodiversity Through Community mobilization and lagoon restoration in Anawasala Kalpitiya,ARINMA HOLDINGS PVT (LTD,Agriculture Forestry and Other Land Use,ARR,VM0024; VM0021,Rejected by Administrator,Sri Lanka,"4,960",Asia,,2022-10-01,2032-09-30
3741,Mudurnu Biogas Energy Power Plant,Mudurnu Enerji Sanayi ve Tcaret A.Ş.,Waste handling and disposal,,AM0073,Registered,Turkey,"90,699",Middle East,2025-03-12,2021-02-10,2028-02-09
3742,Distributed Renewable Energy Program for People and Planet,GEAPP ServiceCO (India) Private Limited,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registered,India,"92,663",Asia,2024-12-27,2021-06-23,2031-06-22
3743,RE.GREEN ATLANTIC FOREST REFORESTATION/RESTORATION PROJECT,Re.Green Participações S.A.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Brazil,"487,419",Latin America,2025-01-09,2022-10-04,2122-10-03
3745,Enexor Impact USA,Enexor BioEnergy,Energy demand; Energy industries (renewable/non-renewable sources); Waste handling and disposal,,VM0018; ACM0022,Under validation,United States,"1,448,393",North America,,2023-05-01,2030-04-30
3735,Rivian EV Charging Network Project,"Rivian Automotive, LLC.",Energy industries (renewable/non-renewable sources); Transport,,VM0038,Registration requested,United States,"218,200",North America,,2021-11-03,2028-11-02
3736,Denkoh Dairy Cows Manure Composting Project,Dengkou County Yuantai Livestock Industry Co.Ltd.,Waste handling and disposal,,AMS-III.F.,Under validation,China,"59,553",Asia,,2021-08-01,2031-07-31
3737,Improved cropland management project in Noorgandusi,"Harbin Beigen Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,China,"1,326,616",Asia,,2020-11-01,2120-10-31
3738,Triunfo do Xingu Grouped REDD+ Project,Systemica Inteligência em Sustentabilidade S.A.,Agriculture Forestry and Other Land Use,REDD,VM0015,Registration requested,Brazil,"110,887",Latin America,,2022-08-31,2052-08-30
3739,Selva de Urundel REDD+ Project,CARBON CREDITS CONSULTING S.R.L.,Agriculture Forestry and Other Land Use,REDD,VM0015,Registered,Argentina,"317,475",Latin America,2024-12-06,2021-01-11,2051-01-10
3731,YICHENG -1 ADJUSTED WATER MANAGEMENT IN RICE CULTIVATION,Multiple Proponents,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Rejected by Administrator,China,"59,605",Asia,,2019-05-09,2026-05-08
3732,Adjusted Water Management in Rice Cultivation in Xindu District,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"55,533",Asia,,2020-05-05,2030-05-04
3733,Adjusted Water Management in Rice Cultivation In Xishui County,"Wuhan Haimingsen Environmental Protection Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"58,296",Asia,,2020-05-27,2030-05-26
3734,BOSQUES CAUTIN S.A. FOREST CARBON PROJECT CONVERSION OF LOGGED TO PROTECTED FOREST PROJECT,Bosques Cautin S.A.,Agriculture Forestry and Other Land Use,IFM,VM0010,Registration requested,Chile,"237,382",Latin America,,2021-03-26,2054-03-25
3727,Corridors for Life ARR Grouped Project,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Brazil,"584,276",Latin America,2024-03-19,2021-12-06,2071-12-05
3728,Adjusted Water Management in Rice Cultivation In Macheng City,"Wuhan Haimingsen Environmental Protection Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"56,795",Asia,,2020-05-23,2030-05-22
3729,Adjusted Water Management in Rice Cultivation In Luotian County,"Wuhan Haimingsen Environmental Protection Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"58,140",Asia,,2020-05-25,2030-05-24
3730,Climate Action in Myanmar through a community-based Mangrove Restoration,Worldview International Foundation,Agriculture Forestry and Other Land Use,ARR; WRC,VM0033,Registration requested,Myanmar,"58,886",Asia,,2022-05-10,2047-05-09
3726,Amazon Guardians REDD+ Project,Bosques Amazónicos,Agriculture Forestry and Other Land Use,REDD,VM0006,Under validation,Peru,"504,125",Latin America,,2022-01-01,2031-12-31
3721,Adjusted Water Management in Rice Cultivation in Yilong County,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"56,850",Asia,,2020-05-17,2030-05-16
3722,Adjusted Water Management in Rice Cultivation in Xionghe Town,Hubei Jiangling County Agricultural Technology Extension Center,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"45,136",Asia,,2020-05-16,2027-05-15
3723,Adjusted Water Management in Rice Cultivation in Baimasi Town,Hubei Jiangling County Agricultural Technology Extension Center,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"46,145",Asia,,2020-05-16,2027-05-15
3724,Adjusted Water Management in Rice Cultivation in Tanqiao Town,Hubei Jiangling County Agricultural Technology Extension Center,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"56,691",Asia,,2020-05-16,2027-05-15
3718,Adjusted Water Management in Rice Cultivation in Langzhong City,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"57,288",Asia,,2020-05-19,2030-05-18
3719,Adjusted Water Management in Rice Cultivation in Nanbu County,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"55,905",Asia,,2020-05-15,2030-05-14
3720,Giciye III Hydropower Project in Rwanda,B.B. Energy (Asia) Pte Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Rwanda,"25,787",Africa,2023-05-24,2020-12-09,2027-12-08
3715,TAIHE COUNTY BIOGAS POWER GENERATION AND ORGANIC FERTILIZER PROJECT,"Anhui United Venture Capital Renewable Energy Technology Co.,Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AM0073,Registered,China,"102,310",Asia,2024-09-27,2021-08-17,2031-08-16
3716,Adjusted Water Management in Rice Cultivation in Anzhou District,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"58,419",Asia,,2020-05-18,2030-05-17
3717,Adjusted Water Management in Rice Cultivation in Jiangyou City,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"57,281",Asia,,2020-05-25,2030-05-24
3714,The High Impact Carbon Farming Program of Lithuania,UAB Heavy Finance,Agriculture Forestry and Other Land Use,ALM,VM0042,Rejected by Administrator,Lithuania,"15,188",Europe,,2018-08-01,2038-07-31
3712,Adjusted Water Management in Rice Cultivation in Shagang Town,Hubei Jiangling County Agricultural Technology Extension Center,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"55,306",Asia,,2020-05-16,2027-05-15
3705,CMM power generation project in the new auxiliary shaft of No. 8 coal mine of Hebi Coal Group,"Beijing Yonder Environmental Energy Technology Co., Ltd",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Registered,China,"69,494",Asia,2024-04-03,2021-05-04,2031-05-03
3706,DNZ Landfill Gas Power Plant,Bio Kütle Enerji Elektrik Üretim Sanayi ve Ticaret A.Ş.,Energy industries (renewable/non-renewable sources),,ACM0001,Under validation,Turkey,"126,116",Europe,,2020-10-10,2027-10-09
3707,TVS Landfill Gas Power Plant,Bio Kütle Enerji Elektrik Üretim Sanayi ve Ticaret A.Ş.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-III.G.,Under validation,Turkey,"31,385",Europe,,2020-10-26,2027-10-25
3708,Hebei Improved Cropland Management Project Phase I,"Shanghai Agro-Services Co., Ltd",Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,China,"137,229",Asia,,2022-09-30,2042-09-29
3711,DRC REDD+ Carbon Credit Harvesting Project,R.E.D.D. Carbon Credit Harvesting L.P,Agriculture Forestry and Other Land Use,REDD,VM0009,Under validation,"Congo, The Democratic Republic of The","27,604,998",Africa,,2022-01-01,2031-12-31
3703,UpEnergy-Social and Climate Impact Programme-Burundi 1,UpEnergy Group,Energy demand,,VMR0006,Under validation,Burundi,"803,492",Africa,,2022-07-05,2029-07-04
3702,Enhancing Rural Livelihoods through Carbon Sequestration by adopting Agro-forestry practices and Natural Climate Solutions,VEDA CLIMATE CHANGE SOLUTIONS LTD,Agriculture Forestry and Other Land Use,ALM; ARR; IFM,AR-ACM0003,Rejected by Administrator,India,"94,200",Asia,,2019-01-01,2038-12-31
3700,Sichuan Muli REDD project,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0007,Rejected by Administrator,China,"234,910",Asia,,2019-01-01,2038-12-31
3697,Wangxingzhuang CMM Power Generation Project,"Xinzheng Yonder New Energy Co., Ltd.",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Registered,China,"55,192",Asia,2024-04-05,2021-12-17,2031-12-16
3698,Strengthening rural livelihood through carbon finance : Agroforestry practices in Meerut Forest circle of Uttar Pradesh,"Department of Environment, Forest and Climate Change, Government of Uttar Pradesh",Agriculture Forestry and Other Land Use,ARR,AR-AMS0007,Registration requested,India,"151,627",Asia,,2019-11-01,2049-10-31
3699,DelAgua Improved Cookstove Grouped Project,DelAgua Trans Africa Stoves Pte. Ltd.,Energy demand,,VMR0006,Registered,Rwanda,"971,601",Africa,2024-11-27,2022-11-04,2029-11-03
3695,Ningxiang Adjusted Water Management in Rice Cultivation,"Hangzhou Chunmeng Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"59,994",Asia,,2020-06-21,2027-06-20
3696,Chongqing Tongliang LFG Power Generation Project,Chongqing Tongliang Zhonglanhuanneng Environmental Technology Co. Ltd.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,"50,729",Asia,2023-03-02,2021-01-01,2030-12-31
3693,Improved Cookstove Distribution by Climate Detox Private Limited- Phase II,Multiple Proponents,Energy demand,,VMR0006,Registered,India,"368,478",Asia,2024-03-07,2022-08-01,2029-07-31
3694,GHG CAPTURE IN THE PRODUCTION OF PLASTIC REPLACEMENT MATERIALS,Newlight Technologies,Energy demand,,VM0040,Inactive,United States,"9,141",North America,,2021-03-17,2031-03-16
3690,PROJECT MATANI REDD+ DIOS MAYOR DE LOS PUEBLOS CABILLARI,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0015,Rejected by Administrator,Colombia,"1,067,300",Latin America,,2017-06-02,2037-06-01
3691,Safe Drinking Water Supply Project in the Rural Area of Senegal,"Guangzhou Iceberg Environmental Consulting Services Co., Ltd.",Energy demand,,AMS-III.AV.,Verification approval requested,Senegal,"269,450",Africa,2023-10-04,2021-03-23,2028-03-22
3692,Xinjiang Burqin Improved Grassland Management Project Phase II,Burqin Jinhua Urban Construction and Investment Co.Ltd.,Agriculture Forestry and Other Land Use,ALM,VM0026,Under development,China,"262,318",Asia,,2021-10-11,2061-10-10
3683,Adjusted Water Management in Rice Cultivation in Yuyao City,"Hangzhou Chunmeng Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"59,984",Asia,,2020-06-16,2027-06-15
3684,Adjusted Water Management in Rice Cultivation in Shangyu District,"Hangzhou Chunmeng Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"59,906",Asia,,2020-06-18,2027-06-17
3685,Adjusted Water Management in Rice Cultivation in Nanxun District,"Hangzhou Chunmeng Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"59,989",Asia,,2020-06-13,2027-06-12
3686,Adjusted Water Management in Rice Cultivation in Haining City,"Hangzhou Chunmeng Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"59,957",Asia,,2020-06-10,2027-06-09
3687,Adjusted Water Management in Rice Cultivation in Xiuzhou District,"Hangzhou Chunmeng Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Inactive,China,"59,933",Asia,,2020-06-17,2027-06-16
3688,Shandong Xiantan Composting Project,Shandong Xiantan Biotechnology Co Ltd,"Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.; AMS-III.F.,Registered,China,"55,293",Asia,2023-10-18,2021-05-01,2031-04-30
3689,Biodiesel Project by Rajputana Biodiesel Private Limited,Rajputana Biodiesel Private Limited,Chemical industry; Transport,,AMS-III.AK,Verification approval requested,India,"126,559",Asia,2024-05-17,2020-12-15,2027-12-14
3680,Improved Cookstove Distribution by Climate Detox Private Limited- Phase I,Multiple Proponents,Energy demand,,VMR0006,Registered,India,"368,478",Asia,2024-03-06,2022-07-10,2029-07-09
3681,"Wastes to BioCNG Project by Cities Innovative Biofuels in Patiala, Punjab, India",Cities Innovative Biofuels Private Limited,Transport; Waste handling and disposal,,AMS-III.AO.; AMS-III.AQ,Under validation,India,"26,888",Asia,,2022-12-15,2029-12-14
3678,Chia Tai AWMS GHG Mitigation Project in Guangdong Province,"Guangdong Zhanjiang Chia Tai Swine Industry Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,"131,840",Asia,2023-11-30,2021-07-01,2031-06-30
3676,AVOCADO AGROFORESTRY GROUPED PROJECT IN ISRAEL,Rivulis Pte. Ltd.,Agriculture Forestry and Other Land Use,ALM,VM0042,Registration request denied,Israel,669,Middle East,,2020-04-01,2050-03-31
3677,Ecobase Europe Afforestation Project,ECOBASE (PROJECT SPRUCE OÜ),Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Estonia,"1,547,919",Europe,2024-10-31,2019-09-30,2119-09-29
3675,GHG EMISSION REDUCTION THROUGH INTERMITTENT FLOODING IN RICE FIELDS,Landmark Agri Exports Private Limited,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU; VM0042,Inactive,India,"58,722",Asia,,2020-06-05,2027-06-04
3673,Optimization of the Nitrogen fertilizer in India and Thailand by using satellite images analysis,"Sagri Co., Ltd",Agriculture Forestry and Other Land Use,ALM,VM0042,Inactive,India,100,Asia,,2018-09-01,2025-08-31
3674,Veracruz Mangrove For Life Project,Livelihoods Fund SICAV SIF,Agriculture Forestry and Other Land Use,ARR,AR-AM0014,Rejected by Administrator,Mexico,"50,902",Latin America,,2017-01-17,2042-01-16
3670,MEIOESTE UNICARBO LANDFILL GAS TO ENERGY PROJECT,UniCarbo Energia e Biogas Ltda.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,Brazil,"207,596",Latin America,2024-04-09,2021-03-21,2028-03-20
3671,Chaco Vivo,Atenil S.A.,Agriculture Forestry and Other Land Use,REDD,VM0007,Under validation,Paraguay,"3,463,001",Latin America,,2022-01-01,2051-12-31
3669,Western Kenya Soil Carbon Project,Soil-Carbon Certification Services,Agriculture Forestry and Other Land Use,ALM,VM0017,Registered,Kenya,"179,643",Africa,2025-03-14,2019-10-06,2039-10-05
3668,Jintudi Composting Project in Zhucheng City,"Zhucheng Jintudi Organic Fertilizer Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.; AMS-III.F.,Registered,China,"58,860",Asia,2024-06-05,2021-03-15,2031-03-14
3667,SHANDONG BEICHEN BREEDING SWINE FARM COMPOSTING PROJECT,"Lijin Huayu Breeding Swine Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.; AMS-III.F.,Registered,China,"25,169",Asia,2024-04-12,2022-06-10,2029-06-09
3665,Poultry litter to compost using Black Soldier Fly larva in India by Holocene Ecosolutions,Holocene Ecosolutions Private Limited,Waste handling and disposal,,ACM0010,Inactive,India,"787,669",Asia,,2021-06-25,2028-06-24
3666,Xingu-Araguaia Grouped REDD+ Project,Future Carbon International LLC,Agriculture Forestry and Other Land Use,REDD,VM0015,Withdrawn,Brazil,"38,389",Latin America,,2020-10-15,2050-10-14
3664,Huinan County Afforestation Project,"Jinyongli Carbon Oxygen Technology (Jilin) Co., Ltd.",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under validation,China,"316,696",Asia,,2020-03-16,2080-03-15
3661,Strengthening Rural Livelihood Through Carbon Finance: Agroforestry Practices In Moradabad Forest Circle Of Uttar Pradesh,"Department of Environment, Forest and Climate Change, Government of Uttar Pradesh",Agriculture Forestry and Other Land Use,ARR,AR-AMS0007,Under validation,India,"228,381",Asia,,2019-10-15,2049-10-14
3662,15 MW Nam Hinboun Downstream Hydropower Project,Rasita Power Co. Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Lao,"79,740",Asia,2023-04-11,2021-02-01,2028-01-31
3663,Strengthening rural livelihood through carbon finance to agroforestry practices in Saharanpur Forest Circle of Uttar Pradesh,"Department of Environment, Forest and Climate Change, Government of Uttar Pradesh",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration requested,India,"397,720",Asia,,2019-10-18,2049-10-17
3658,DISTRIBUTION OF FUEL EFFICIENT IMPROVED COOKSTOVES IN INDIA,SB Agri Renewable Private Limited,Energy demand,,VMR0006,Registered,India,"103,850",Asia,2024-08-27,2021-03-01,2028-02-29
3659,Nesa Solar PV Grouped Project,Nesa Power,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registered,South Africa,"7,662",Africa,2024-07-19,2021-11-10,2028-11-09
3660,Papariko - Restoration of Degraded Mangrove Areas in Kenya,Vlinder Austria GmbH,Agriculture Forestry and Other Land Use,ARR; WRC,AR-AM0014,Registered,Kenya,"30,389",Africa,2025-02-14,2022-05-26,2052-05-25
3654,Improved cookstove grouped project in Rwanda,B.B. Energy (Asia) Pte Ltd,Energy demand,,VMR0006,Registered,Rwanda,"1,376,362",Africa,2023-06-13,2022-09-30,2032-09-29
3655,Sustainable Paddy Program,AgriCapita Innotech Private Limited,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registration requested,India,"54,252",Asia,,2022-07-01,2032-06-30
3656,Agoro Carbon USA Pastureland Program,Agoro Carbon Alliance US Inc.,Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,United States,"269,777",North America,,2022-03-01,2042-02-28
3657,Grouped Commercial Vehicle EV Project in India,Multiple Proponents,Transport,,AMS-I.F.; AMS-III.C.,Registered,India,"7,052",Asia,2023-09-05,2021-03-23,2031-03-22
3653,Xinxiang MSW Incineration Project,"Xinxiang Capital Environment Energy Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Registered,China,"157,862",Asia,2023-08-21,2020-11-19,2030-11-18
3648,"Fengxi Geothermal Space Heating Project in Xi’an city, Shaanxi Province","Shaanxi Province Xixian new district Fengxi New Town Energy Development Co., Ltd.",Energy industries (renewable/non-renewable sources),,AM0072,Registered,China,"17,526",Asia,2023-05-12,2021-01-15,2031-01-14
3649,Tianjin Dahanzhuang LFG Power Generation Project I,"Tianjin Zhonglan Huanneng Co., Ltd",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,"82,910",Asia,2023-03-06,2020-12-10,2030-12-09
3650,CPA1 - Man and Man Enterprise Improved Cooking Stoves Programme in Ghana (Brong-Ahafo region),Man and Man Enterprise,Energy demand,,AMS-II.G.,Registered,Ghana,"171,233",Africa,2024-05-07,,
3651,Ege Biogas Project,Multiple Proponents,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AM0073,Registered,Turkey,"418,477",,2024-11-13,2021-04-23,2028-04-22
3645,Soil+ Project to Incentivize Emissions Reductions and Removals on Agricultural Land in Europe,Klim GmbH,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Germany,"941,981",Europe,,2024-01-01,2043-12-31
3646,Kúvay Macärö Vidi REDD+ Carurú -KUMAVI REDD+,"RESGUARDO INDÍGENA ARARÁ, BACATÍ, CARURÚ Y LAGOS DE JAMAICURÚ",Agriculture Forestry and Other Land Use,REDD,VM0015; VM0037,Inactive,Colombia,"300,000",Latin America,,2017-01-01,2046-12-31
3641,Dongfang Municipal Solid Waste Incineration for Power Generation Project,"Everbright Environmental Energy (Dongfang) Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Under validation,China,"107,666",Asia,,2020-11-14,2030-11-13
3642,Shanghe Geothermal Space Heating Project,"SINOPEC GREEN ENERGY GEOTHERMAL SHANDONG DEVELOPMENT CO., LTD SHANGHE BRANCH",Energy industries (renewable/non-renewable sources),,AM0072,Registered,China,"3,205",Asia,2023-08-08,2021-01-18,2031-01-17
